date,country,operator,ac_type,all_aboard,PASAJEROS A BORDO,crew_aboard,cantidad de fallecidos,passenger_fatalities,crew_fatalities,ground
1946-11-05 18:30:00,Russia,Aeroflot,Douglas C-47,26.0,22.0,4.0,13.0,11.0,2.0,0.0
1946-11-11 03:30:00,Ohio,United Air Lines,Douglas DC-3 (C-53D-DO),20.0,17.0,3.0,2.0,0.0,2.0,0.0
1946-11-13 03:41:00,California,Western Airlines,Douglas C-53D-DO (DC-3),11.0,8.0,3.0,11.0,8.0,3.0,0.0
1946-11-13 08:18:00,Mexico,Empressa Commun. Aéreas de Veracruz,Douglas DC-3,15.0,12.0,3.0,15.0,12.0,3.0,0.0
1946-11-14 20:15:00,Netherlands,KLM Royal Dutch Airlines,Douglas C-47A-90 DL (DC-3),26.0,21.0,5.0,26.0,21.0,5.0,0.0
1946-11-16 23:30:00,North Pacific Ocean,U.S. Army Air Forces,Douglas C-47,23.0,15.0,8.0,23.0,15.0,8.0,0.0
1946-11-26 10:30:00,Costa Rica,Lineas Aéreas Costarricenses  LACSA,Douglas DC-3 (C-47A-90-DL),22.0,20.0,2.0,22.0,20.0,2.0,0.0
1946-11-30 00:00:00,Argentina,Fuerza Aérea Argentina,Vickers 620 Viking 1,18.0,15.0,3.0,5.0,2.0,3.0,0.0
1946-12-04 00:00:00,Iran,Aeroflot,Lisunov Li-2,24.0,21.0,3.0,24.0,20.0,4.0,0.0
1946-12-10 13:10:00,Japan,U.S. Army Air Forces,Curtiss-Wright C-46F-CU,24.0,19.0,5.0,24.0,19.0,5.0,0.0
1946-12-10 00:00:00,Washington,U.S. Marine Corps,Curtiss-Wright R5C-1,32.0,29.0,3.0,32.0,29.0,3.0,0.0
1946-12-14 00:00:00,Philippines,Far Eastern Air Transport,Douglas DC-3 (C-47-B-1-DK),14.0,10.0,4.0,12.0,9.0,3.0,0.0
1946-12-17 00:00:00,Atlantic Ocean,Winged Cargo Inc.,Douglas C-47A,7.0,5.0,2.0,7.0,5.0,2.0,0.0
1946-12-23 14:30:00,Brazil,FAMA (Argentina),Avro  685 York I,21.0,15.0,6.0,21.0,15.0,6.0,0.0
1946-12-24 19:19:00,California,Western Airlines,Douglas DC-3 ( C-53D-DO),12.0,9.0,3.0,12.0,9.0,3.0,0.0
1946-12-25 17:00:00,China,CNAC,Curtiss C-47,34.0,31.0,3.0,13.0,10.0,3.0,3.0
1946-12-25 17:00:00,China,CNAC,Douglas DC-3,30.0,27.0,3.0,20.0,17.0,3.0,0.0
1946-12-25 17:45:00,China,CATA,Douglas C-47,11.0,7.0,4.0,11.0,7.0,4.0,5.0
1946-12-28 00:00:00,Illinois,Kansas City Southern Skyways,Douglas C-47A,2.0,0.0,2.0,2.0,0.0,2.0,0.0
1946-12-28 02:09:00,Ireland,Trans Continental and Western Air,Lockheed 049 Consellation,23.0,14.0,9.0,13.0,9.0,4.0,0.0
1946-12-28 09:19:00,Indiana,American Airlines,Douglas DC-3 (C-50A-DO),21.0,18.0,3.0,2.0,0.0,2.0,0.0
